time, device, OryConc, CPUTemp, SensorTemp, 
07:09:07, position 1, 238705, 0.0, , , 
07:09:12, position 1, 640208, 0.0, , , 
07:09:17, position 1, -183809, 0.0, , , 
07:09:22, position 1, -113011, 0.0, , , 
07:09:27, position 1, -209838, 0.0, , , 
07:09:32, position 1, -98568, 0.0, , , 
07:09:37, position 1, 48911, 0.0, , , 
07:09:42, position 1, 171667, 0.0, , , 
07:09:47, position 1, 335060, 0.0, , , 
07:09:52, position 1, 413389, 0.0, , , 
07:09:57, position 1, -23347, 0.0, , , 
07:10:02, position 1, -2027, 0.0, , , 
07:10:07, position 1, -159993, 0.0, , , 
07:10:12, position 1, 427003, 0.0, , , 
07:10:17, position 1, 50443, 0.0, , , 
07:10:22, position 1, -224445, 0.0, , , 
07:10:27, position 1, 7122, 0.0, , , 
07:10:32, position 1, -186128, 0.0, , , 
07:10:37, position 1, -12732, 0.0, , , 
07:10:42, position 1, 90620, 0.0, , , 
07:10:47, position 1, 280500, 0.0, , , 
07:10:52, position 1, 396944, 0.0, , , 
07:10:57, position 1, 13966, 0.0, , , 
07:11:02, position 1, 26799, 0.0, , , 
07:11:07, position 1, -18844, 0.0, , , 
07:11:12, position 1, 238705, 0.0, , , 
07:11:17, position 1, 640208, 0.0, , , 
07:11:22, position 1, -183809, 0.0, , , 
07:11:37, position 1, -98568, 0.0, , 
07:11:42, position 1, 48911, 0.0, , 
07:11:47, position 1, 171667, 0.0, , 
07:11:52, position 1, 335060, 0.0, , 
07:11:57, position 1, 413389, 0.0, , 
07:12:02, position 1, -23347, 0.0, , 
07:14:42, position 1, -186128, 0.0, , 
07:14:47, position 1, -12732, 0.0, , 
07:14:52, position 1, 90620, 0.0, , 
07:14:57, position 1, 280500, 0.0, , 
07:15:02, position 1, 396944, 0.0, , 
07:15:07, position 1, 13966, 0.0, , 
07:15:12, position 1, 26799, 0.0, , 
07:15:17, position 1, -18844, 0.0, , 
07:15:22, position 1, 238705, 0.0, , 
07:15:27, position 1, 640208, 0.0, , 
07:15:32, position 1, -183809, 0.0, , 
07:15:37, position 1, -113011, 0.0, , 
07:15:42, position 1, -209838, 0.0, , 
07:15:47, position 1, -98568, 0.0, , 
07:15:57, position 1, 171667, 0.0, , 
07:16:02, position 1, 335060, 0.0, , 
07:16:07, position 1, 413389, 0.0, , 
07:16:12, position 1, -23347, 0.0, , 
07:16:17, position 1, -2027, 0.0, , 
07:16:22, position 1, -159993, 0.0, , 
07:16:27, position 1, 427003, 0.0, , 
07:16:32, position 1, 50443, 0.0, , 
07:16:37, position 1, -224445, 0.0, , 
07:16:42, position 1, 7122, 0.0, , 
07:16:47, position 1, -186128, 0.0, , 
07:16:52, position 1, -12732, 0.0, , 
07:16:57, position 1, 90620, 0.0, , 
07:17:02, position 1, 280500, 0.0, , 
07:17:07, position 1, 396944, 0.0, , 
07:17:12, position 1, 13966, 0.0, , 
07:17:17, position 1, 26799, 0.0, , 
07:17:22, position 1, -18844, 0.0, , 
07:17:27, position 1, 238705, 0.0, , 
07:17:32, position 1, 640208, 0.0, , 
07:17:37, position 1, -183809, 0.0, , 
07:17:42, position 1, -113011, 0.0, , 
07:17:47, position 1, -209838, 0.0, , 
07:17:52, position 1, -98568, 0.0, , 
07:17:57, position 1, 48911, 0.0, , 
07:18:02, position 1, 171667, 0.0, , 
07:18:07, position 1, 335060, 0.0, , 
07:18:12, position 1, 413389, 0.0, , 
07:18:17, position 1, -23347, 0.0, , 
07:18:22, position 1, -2027, 0.0, , 
07:18:27, position 1, -159993, 0.0, , 
07:18:32, position 1, 427003, 0.0, , 
07:18:37, position 1, 50443, 0.0, , 
07:18:42, position 1, -224445, 0.0, , 
07:18:47, position 1, 7122, 0.0, , 
07:18:52, position 1, -186128, 0.0, , 
07:18:57, position 1, -12732, 0.0, , 
07:19:02, position 1, 90620, 0.0, , 
07:19:07, position 1, 280500, 0.0, , 
07:19:12, position 1, 396944, 0.0, , 
07:19:17, position 1, 13966, 0.0, , 
07:19:22, position 1, 26799, 0.0, , 
07:19:27, position 1, -18844, 0.0, , 
07:19:32, position 1, 238705, 0.0, , 
07:19:37, position 1, 640208, 0.0, , 
07:19:42, position 1, -183809, 0.0, , 
07:19:47, position 1, -113011, 0.0, , 
07:19:52, position 1, -209838, 0.0, , 
07:19:57, position 1, -98568, 0.0, , 
07:20:02, position 1, 48911, 0.0, , 
07:20:07, position 1, 171667, 0.0, , 
07:20:12, position 1, 335060, 0.0, , 
07:20:17, position 1, 413389, 0.0, , 
07:20:22, position 1, -23347, 0.0, , 
07:20:27, position 1, -2027, 0.0, , 
07:20:32, position 1, -159993, 0.0, , 
07:20:37, position 1, 427003, 0.0, , 
07:20:42, position 1, 50443, 0.0, , 
07:20:47, position 1, -224445, 0.0, , 
07:20:52, position 1, 7122, 0.0, , 
07:20:57, position 1, -186128, 0.0, , 
07:21:02, position 1, -12732, 0.0, , 
07:21:07, position 1, 90620, 0.0, , 
07:21:12, position 1, 280500, 0.0, , 
07:21:17, position 1, 396944, 0.0, , 
07:21:22, position 1, 13966, 0.0, , 
07:21:27, position 1, 26799, 0.0, , 
07:21:32, position 1, -18844, 0.0, , 
07:21:37, position 1, 238705, 0.0, , 
07:21:42, position 1, 640208, 0.0, , 
07:21:47, position 1, -183809, 0.0, , 
07:21:52, position 1, -113011, 0.0, , 
07:21:57, position 1, -209838, 0.0, , 
07:22:02, position 1, -98568, 0.0, , 
07:22:07, position 1, 48911, 0.0, , 
07:22:12, position 1, 171667, 0.0, , 
07:22:17, position 1, 335060, 0.0, , 
07:22:22, position 1, 413389, 0.0, , 
07:22:27, position 1, -23347, 0.0, , 
07:22:32, position 1, -2027, 0.0, , 
07:22:37, position 1, -159993, 0.0, , 
07:22:42, position 1, 427003, 0.0, , 
07:22:47, position 1, 50443, 0.0, , 
07:22:52, position 1, -224445, 0.0, , 
07:22:57, position 1, 7122, 0.0, , 
07:23:02, position 1, -186128, 0.0, , 
07:23:07, position 1, -12732, 0.0, , 
07:23:12, position 1, 90620, 0.0, , 
07:23:17, position 1, 280500, 0.0, , 
07:23:22, position 1, 396944, 0.0, , 
07:23:27, position 1, 13966, 0.0, , 
07:23:32, position 1, 26799, 0.0, , 
07:23:37, position 1, -18844, 0.0, , 
07:23:42, position 1, 238705, 0.0, , 
07:23:47, position 1, 640208, 0.0, , 
07:23:52, position 1, -183809, 0.0, , 
07:23:57, position 1, -113011, 0.0, , 
07:24:02, position 1, -209838, 0.0, , 
07:24:07, position 1, -98568, 0.0, , 
07:24:12, position 1, 48911, 0.0, , 
07:24:17, position 1, 171667, 0.0, , 
07:24:22, position 1, 335060, 0.0, , 
07:24:27, position 1, 413389, 0.0, , 
07:24:32, position 1, -23347, 0.0, , 
07:24:37, position 1, -2027, 0.0, , 
07:24:42, position 1, -159993, 0.0, , 
07:24:47, position 1, 427003, 0.0, , 
07:24:52, position 1, 50443, 0.0, , 
07:24:57, position 1, -224445, 0.0, , 
07:25:02, position 1, 7122, 0.0, , 
07:25:07, position 1, -186128, 0.0, , 
07:25:12, position 1, -12732, 0.0, , 
07:25:17, position 1, 90620, 0.0, , 
07:25:22, position 1, 280500, 0.0, , 
07:25:27, position 1, 396944, 0.0, , 
07:25:32, position 1, 13966, 0.0, , 
07:25:37, position 1, 26799, 0.0, , 
07:25:42, position 1, -18844, 0.0, , 
07:25:47, position 1, 238705, 0.0, , 
07:25:52, position 1, 640208, 0.0, , 
07:25:57, position 1, -183809, 0.0, , 
07:26:02, position 1, -113011, 0.0, , 
07:26:07, position 1, -209838, 0.0, , 
07:26:12, position 1, -98568, 0.0, , 
07:26:17, position 1, 48911, 0.0, , 
07:26:22, position 1, 171667, 0.0, , 
07:26:27, position 1, 335060, 0.0, , 
07:26:32, position 1, 413389, 0.0, , 
07:26:37, position 1, -23347, 0.0, , 
07:26:42, position 1, -2027, 0.0, , 
07:26:47, position 1, -159993, 0.0, , 
07:26:52, position 1, 427003, 0.0, , 
07:26:57, position 1, 50443, 0.0, , 
07:27:02, position 1, -224445, 0.0, , 
07:27:07, position 1, 7122, 0.0, , 
07:27:12, position 1, -186128, 0.0, , 
07:27:17, position 1, -12732, 0.0, , 
07:27:22, position 1, 90620, 0.0, , 
07:27:27, position 1, 280500, 0.0, , 
07:27:32, position 1, 396944, 0.0, , 
07:27:37, position 1, 13966, 0.0, , 
07:27:42, position 1, 26799, 0.0, , 
07:27:47, position 1, -18844, 0.0, , 
07:27:52, position 1, 238705, 0.0, , 
07:27:57, position 1, 640208, 0.0, , 
07:28:02, position 1, -183809, 0.0, , 
07:28:07, position 1, -113011, 0.0, , 
07:28:12, position 1, -209838, 0.0, , 
07:28:17, position 1, -98568, 0.0, , 
07:28:22, position 1, 48911, 0.0, , 
07:28:27, position 1, 171667, 0.0, , 
07:28:32, position 1, 335060, 0.0, , 
07:28:37, position 1, 413389, 0.0, , 
07:28:42, position 1, -23347, 0.0, , 
07:28:47, position 1, -2027, 0.0, , 
07:28:52, position 1, -159993, 0.0, , 
