time, device, OryConc, CPUTemp, SensorTemp, packet id, 
18:58:12, position 1, -98568, 0.0, , 369, , 
18:58:17, position 1, 48911, 0.0, , 370, , 
18:58:22, position 1, 171667, 0.0, , 371, , 
18:58:27, position 1, 335060, 0.0, , 372, , 
18:58:32, position 1, 413389, 0.0, , 373, , 
18:58:37, position 1, -23347, 0.0, , 374, , 
18:58:42, position 1, -2027, 0.0, , 375, , 
18:58:47, position 1, -159993, 0.0, , 376, , 
18:58:52, position 1, 427003, 0.0, , 377, , 
18:58:57, position 1, 50443, 0.0, , 378, , 
18:59:02, position 1, -224445, 0.0, , 379, , 
18:59:07, position 1, 7122, 0.0, , 380, , 
18:59:15, position 1, 13966, 0.0, , 381, , 
19:00:15, position 1, 26799, 0.0, , 382, , 
