time, device, OryConc, CPUTemp, SensorTemp, packet id, ,,,,,,
09:43:26, position 1,5712,34.862, ,137, ,,,,,,
09:43:56, position 1,3179,34.862, ,138, ,,,,,,
09:44:26, position 1,3739,34.324, ,139, ,,,,,,
09:44:56, position 1,4749,34.324, ,140, ,,,,,,
09:45:26, position 1,4688,34.324, ,141, ,,,,,,
09:45:56, position 1,4600,35.4, ,142, ,,,,,,
09:47:26, position 1,4351,34.324, ,143, ,,,,,, 
09:55:26, position 1,4301,35.4, ,148, ,,,,,,
09:57:56, position 1,3960,34.324, ,149, ,,,,,,
09:58:26, position 1,3829,34.862, ,150, ,,,,,,
09:58:56, position 1,3712,35.4, ,151, ,,,,,,
09:59:26, position 1,4055,34.862, ,152, ,,,,,,
10:00:56, position 1,1588,34.324, ,153, ,,,,,,
10:01:56, position 1,1770,34.324, ,154, ,,,,,,
10:03:56, position 1,4333,34.862, ,155, ,,,,,,
10:04:26, position 1,4309,34.862, ,156, ,,,,,,
10:05:26, position 1,3744,34.324, ,157, ,,,,,,
10:06:56, position 1,3212,35.4, ,158, ,,,,,,
10:07:56, position 1,5550,34.862, ,159, ,,,,,,
10:08:26, position 1,4803,35.4, ,160, ,,,,,,
10:08:56, position 1,1856,34.324, ,161, ,,,,,,
10:09:26, position 1,4987,34.862, ,162, ,,,,,,
10:11:26, position 1,3701,34.862, ,163, ,,,,,,
10:11:56, position 1,3987,35.4, ,164, ,,,,,,
10:12:26, position 1,4531,35.4, ,165, ,,,,,,
10:12:56, position 1,3382,35.4, ,166, ,,,,,,
10:13:26, position 1,2746,34.862, ,167, ,,,,,,
10:13:56, position 1,4054,34.324, ,168, ,,,,,,
10:14:26, position 1,2915,34.324, ,169, ,,,,,,
10:14:56, position 1,2231,34.862, ,170, ,,,,,,
10:16:26, position 1,4769,35.4, ,171, ,,,,,,
10:17:56, position 1,1398,34.862, ,172, ,,,,,,
10:18:56, position 1,4600,34.324, ,173, ,,,,,,
10:19:26, position 1,1823,34.324, ,174, ,,,,,,
10:20:56, position 1,3260,35.4, ,175,,,,,,,
