time, device, OryConc, CPUTemp, SensorTemp, packet id, 
13:49:32, position 1, 364179, 40.78, , 99, 
13:50:02, position 1, 132197, 40.78, , 100, 
13:50:32, position 1, -94244, 40.242, , 101, 
13:51:02, position 1, -14864, 40.78, , 102, 
13:51:32, position 1, -163739, 40.78, , 103, 
13:52:02, position 1, 5716, 40.78, , 104, 
13:52:32, position 1, 215146, 40.78, , 105, 
13:53:02, position 1, 424997, 40.78, , 106, 
13:53:32, position 1, 472231, 39.704, , 107, 
13:54:02, position 1, 27325, 40.78, , 108, 
13:54:32, position 1, 78972, 40.242, , 109, 
13:55:02, position 1, -50993, 39.704, , 110, 
13:55:32, position 1, 161963, 40.78, , 111, 
13:56:02, position 1, 648007, 39.704, , 112, 
13:56:32, position 1, -57898, 39.704, , 113, 
13:57:02, position 1, -36457, 39.704, , 114, 
13:57:32, position 1, -227863, 40.78, , 115, 
13:58:02, position 1, -87084, 40.242, , 116, 
13:58:32, position 1, 146461, 39.704, , 117, 
13:59:02, position 1, 322350, 39.704, , 118, 
13:59:32, position 1, 437436, 39.704, , 119, 
14:00:02, position 1, 513517, 39.704, , 120, 
14:00:32, position 1, 6183, 40.78, , 121, 
14:01:02, position 1, 28865, 40.242, , 122, 
14:01:32, position 1, -161265, 40.242, , 123, 
14:02:02, position 1, 364179, 40.242, , 124, 
14:02:32, position 1, 132197, 40.242, , 125, 
14:03:02, position 1, -94244, 39.704, , 126, 
14:03:32, position 1, -14864, 39.704, , 127, 
14:04:02, position 1, -163739, 39.704, , 128, 
14:04:32, position 1, 5716, 40.242, , 129, 
14:05:02, position 1, 215146, 40.242, , 130, 
14:05:32, position 1, 424997, 40.78, , 131, 
14:06:02, position 1, 472231, 40.242, , 132, 
14:06:32, position 1, 27325, 39.704, , 133, 
14:07:02, position 1, 78972, 40.242, , 134, 
14:07:32, position 1, -50993, 40.242, , 135, 
14:08:02, position 1, 161963, 40.78, , 136, 
14:08:32, position 1, 648007, 40.242, , 137, 
14:09:02, position 1, -57898, 40.242, , 138, 
14:09:32, position 1, -36457, 40.78, , 139, 
14:10:02, position 1, -227863, 39.704, , 140, 
14:10:32, position 1, -87084, 40.78, , 141, 
14:11:02, position 1, 146461, 40.78, , 142, 
14:11:32, position 1, 322350, 39.704, , 143, 
14:12:02, position 1, 437436, 39.704, , 144, 
14:12:32, position 1, 513517, 40.242, , 145, 
14:13:02, position 1, 6183, 40.78, , 146, 
14:13:32, position 1, 28865, 40.78, , 147, 
14:14:02, position 1, -161265, 40.242, , 148, 
