time, position, OryConc, AV, CPUTemp, SensorTemp, packet_id, 
15:43:50, , -24431.5, , 45.62, 42.04, 928, , 
00:06:16, , -17336.3, , 43.5, 0.0, 5, , 
15:44:52, , -24855.9, , 45.08, 42.07, 929, , 
00:08:14, , -16924.1, , 42.9, 40.0, 7, , 
15:45:50, , -25198.7, , 45.08, 0, 930, , 
00:09:15, , -17239.0, , 42.9, 40.0, 8, , 
15:46:50, , -24138.9, , 45.62, 42.11, 931, , 
00:10:14, , -17614.1, , 43.5, 40.0, 9, , 
15:47:50, , -23315.1, , 45.62, 42.13, 932, , 
00:11:14, , -17519.7, , 43.5, 40.0, 10, , 
15:48:50, , -23387.9, , 45.62, 42.14, 933, , 
00:12:14, , -17383.0, , 42.9, 40.0, 11, , 
15:49:51, , -24255.5, , 45.62, 42.16, 934, , 
00:13:14, , -17534.7, , 43.5, 40.0, 12, , 
15:50:53, , -23663.4, , 45.08, 42.18, 935, , 
00:14:17, , -17905.2, , 43.5, 0.0, 13, , 
00:15:15, , -18031.5, , 44.0, 40.0, 14, , 
00:16:17, , -18483.8, , 43.5, 40.0, 15, , 
00:17:14, , -18674.3, , 43.5, 40.0, 16, , 
15:51:50, , -24271.4, , 46.16, 42.21, 936, , 
00:18:14, , -18654.3, , 44.0, 40.0, 17, , 
