time,position,OryConc,AV,CPUTemp,SensorTemp,packet_id
00:01:27,position 2,-16945.0,nan,39.7,0.0,0
00:03:24,position 2,-17042.0,nan,38.6,35.5,1
00:04:27,position 2,-17023.0,nan,38.6,0.0,2
00:06:24,position 2,-17011.0,nan,39.2,35.5,3
00:07:27,position 2,-16962.0,nan,38.6,0.0,4
00:08:24,position 2,-16926.0,nan,39.2,35.5,5
00:11:24,position 2,-17007.0,nan,38.6,35.5,6
00:13:24,position 2,-17048.0,nan,38.6,35.5,7
00:16:27,position 2,-17022.0,nan,38.6,35.4,8
00:17:24,position 2,-17105.0,nan,38.6,0.0,9
00:18:24,position 2,-17149.0,nan,38.6,35.3,10
00:19:24,position 2,-17173.0,nan,38.6,35.3,11
00:20:27,position 2,-17173.0,nan,38.6,35.2,12
00:22:27,position 2,-17180.0,nan,38.6,0.0,13
00:23:27,position 2,-17142.0,nan,38.1,35.1,14
00:24:24,position 2,-17227.0,nan,38.1,35.0,15
00:25:24,position 2,-17235.0,nan,38.1,34.9,16
00:26:24,position 2,-17190.0,nan,38.1,34.9,17
00:27:24,position 2,-17181.0,nan,38.6,34.9,18
00:28:24,position 2,-17108.0,nan,38.6,0.0,19
00:29:24,position 2,-17165.0,nan,38.6,34.8,20
00:30:24,position 2,-17171.0,nan,38.6,0.0,21
00:31:27,position 2,-17177.0,nan,38.6,34.8,22
00:32:24,position 2,-17146.0,nan,38.6,0.0,23
00:33:24,position 2,-17118.0,nan,38.6,34.8,24
00:35:24,position 2,-17142.0,nan,37.5,0.0,25
00:36:24,position 2,-17182.0,nan,38.6,34.7,26
00:38:24,position 2,-17193.0,nan,38.6,34.8,27
00:39:24,position 2,-17146.0,nan,38.6,34.8,28
00:40:24,position 2,-17137.0,nan,37.5,34.8,29
00:41:24,position 2,-17163.0,nan,38.6,34.9,30
00:42:27,position 2,-17135.0,nan,38.6,34.9,31
00:43:24,position 2,-17112.0,nan,37.5,34.8,32
00:44:24,position 2,-17130.0,nan,38.1,34.8,33
00:45:24,position 2,-17142.0,nan,38.6,34.8,34
00:48:24,position 2,-17138.0,nan,38.6,34.8,35
00:49:24,position 2,-17169.0,nan,38.6,34.7,36
00:50:24,position 2,-17151.0,nan,38.6,0.0,37
00:52:24,position 2,-17135.0,nan,38.6,34.8,38
00:54:27,position 2,-17109.0,nan,38.6,34.9,39
00:55:24,position 2,-17062.0,nan,38.6,35.0,40
00:56:24,position 2,-17117.0,nan,38.6,35.0,41
